Kategori,Nama Fasilitas,Desa,Alamat,Google Maps Link,Latitude,Longitude,Keterangan Tambahan,Status KKN
Kesehatan,"Posyandu Olan & Pasir Tengah","Barusuda","Kp. Olan & Pasir Tengah","#",,,"Fasilitas layanan balita, ibu hamil, dan lansia",Belum Survei
Adat & Budaya,"Grup Sinar Sawargi","Barusuda","Kesenian Calung","#",,,"Aktif melestarikan seni musik tradisional Sunda",Belum Survei
Adat & Budaya,"Grup Gentra Sawargi","Barusuda","Kesenian Calung","#",,,"Aktif melestarikan seni musik tradisional Sunda",Belum Survei
Adat & Budaya,"Paguron Mekar Panglipur","Barusuda","Bela Diri (Pencak Silat)","#",,,"Menjaga warisan budaya dan melatih generasi muda",Belum Survei
UMKM,"Kerajinan Anyaman Bambu","Barusuda","UMKM Lokal","#",,,"Kerajinan tangan dari bambu oleh warga Barusuda",Belum Survei
UMKM,"Inovasi Eco-Enzyme","Barusuda","Pengolahan Limbah","#",,,"Inisiatif pengolahan limbah organik hasil pertanian",Belum Survei
UMKM,"Yayasan Bani Assikkiin","Barusuda","Lembaga Sosial","#",,,"Bergerak di bidang pelayanan sosial desa",Belum Survei
Pendidikan,"KB Baetul Mu'minin","Cigedug","Situ Gede","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"SDN 1 Cigedug","Cigedug","Kp. Cigedug Tonggoh RT 03/RW 09","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 2 Cigedug","Cigedug","Kp. Cigedug Tonggoh RT 03/RW 09","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 3 Cigedug","Cigedug","Desa Cigedug","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SD IT Hidayatul Mubtadiin","Cigedug","Kp. Barukai Kaler","#",,,"Sekolah Dasar IT",Belum Survei
Pendidikan,"SD IT Miftahul Huda","Cigedug","Kp. Cibelendung","#",,,"Sekolah Dasar IT",Belum Survei
Pendidikan,"SMPN 1 Cigedug","Cigedug","Jl. Cigedug No. 125","#",,,"Sekolah Menengah Pertama Negeri Utama",Belum Survei
Pendidikan,"SMP IT Al-Muawanah","Cigedug","Desa Cigedug","#",,,"Jenjang SMP Swasta",Belum Survei
Pendidikan,"MTSS Al Kafi","Cigedug","Kp. Negla","#",,,"Madrasah Tsanawiyah",Belum Survei
Pendidikan,"MTSS Daaruttaqwa","Cigedug","Kp. Situgede","#",,,"Madrasah Tsanawiyah",Belum Survei
Pendidikan,"MTSS Manbaul Huda","Cigedug","Kp. Areng","#",,,"Madrasah Tsanawiyah",Belum Survei
Pendidikan,"SMA IT Al-Muawanah","Cigedug","Kp. Cigedug Tonggoh","#",,,"SMA Swasta",Belum Survei
Pendidikan,"SMA Plus Ma'ruful Hidayah","Cigedug","Kp. Barukai","#",,,"SMA Swasta (Terintegrasi Pesantren)",Belum Survei
Pendidikan,"SMAS IT Al Kafi","Cigedug","Desa Cigedug","#",,,"SMA Swasta",Belum Survei
Pesantren,"Ponpes Ma'aruful Hidayah","Cigedug","Kp. Barukai","#",,,"Pusat Pendidikan Agama & Pesantren Besar penyuplai Da'i",Belum Survei
Pesantren,"Ponpes Anshorul Huda","Cigedug","Desa Cigedug","#",,,"Dipimpin oleh KH Darda Al Ghifary",Belum Survei
Pesantren,"Ponpes Fathun Nahwi","Cigedug","Kp. Situgede RT 03/RW 08","#",,,"Pusat kajian kitab kuning / Salafy",Belum Survei
Pesantren,"Masjid Jami Nurul Falah","Cigedug","Kp. Ciredey","#",,,"Masjid Jami Utama / DKM",Belum Survei
Kesehatan,"Puskesdes Cigedug","Cigedug","Kantor Desa Cigedug","#",,,"Fasilitas Kesehatan Tingkat Desa",Belum Survei
Adat & Budaya,"Tradisi Nyaneut","Cigedug","Adat Leluhur","#",,,"Tradisi minum teh khas lereng Cikuray sejak abad 19",Belum Survei
Adat & Budaya,"Nyaneut Festival","Cigedug","Festival Budaya","#",,,"Menampilkan Jaipongan, Calung, Wayang Golek",Belum Survei
UMKM,"Koperasi Eptilu (Closed Loop)","Cigedug","Pemberdayaan Tani","#",,,"Kemitraan petani untuk meningkatkan produktivitas",Belum Survei
UMKM,"Kelompok Tani Sebartani","Cigedug","UMKM Pertanian","#",,,"Bermitra langsung dengan PT Indofood (Kentang Atlantik)",Belum Survei
UMKM,"Kopi Arabika Cigedug","Cigedug","UMKM Pertanian","#",,,"Produksi Kopi Lokal dataran tinggi (>1200 mdpl)",Belum Survei
UMKM,"Yayasan Al-Amin","Cigedug","Yayasan Sosial","#",,,"Bidang Pendidikan Dasar (Kp. Babakan Cipondok)",Belum Survei
UMKM,"Yayasan An Nur Sukarame","Cigedug","Yayasan Sosial","#",,,"Bidang Pendidikan & Agama (Kp. Sukarame)",Belum Survei
UMKM,"Lapangan Alun-Alun Cigedug","Cigedug","Fasilitas Publik","#",,,"Pusat upacara dan kegiatan olahraga desa",Belum Survei
Pendidikan,"KB Cinta Harapan","Cintanagara","Situ Kiruh","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"SDN 1 Cintanagara","Cintanagara","Desa Cintanagara","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 2 Cintanagara","Cintanagara","Kp. Siderang","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"MI Al-Muttaqin 82","Cintanagara","Kp. Siderang Legok","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"MIS Al-Hikmah","Cintanagara","Kp. Situkiruh","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"SMPN 2 Cigedug","Cintanagara","Jl. Cicayur RT 01/RW 01","#",,,"Menjadi sekolah menengah negeri utama di area ini",Belum Survei
Pendidikan,"SMP Plus Darul Arham","Cintanagara","Kp. Babakan Cipondok","#",,,"SMP Swasta",Belum Survei
Pesantren,"PPS Miftahul Huda","Cintanagara","Kp. Cibelendung","#",,,"Pesantren kajian kitab kuning berdiri sejak 1975",Belum Survei
Pesantren,"Ponpes Al-Mutaqin","Cintanagara","Kp. Sindang Legok RT 02/04","#",,,"Pusat Pendidikan Islam lokal",Belum Survei
Pesantren,"Masjid Al-Husna","Cintanagara","Kp. Sukaresmi 1 RT 01/06","#",,,"Pusat kegiatan sosial dan keagamaan warga",Belum Survei
Pesantren,"Masjid Umar bin Khattab","Cintanagara","Desa Cintanagara","#",,,"Masjid utama yang pernah diresmikan oleh Wabup Garut",Belum Survei
Pesantren,"Masjid Nurul Millah","Cintanagara","Kp. Sukaresmi 2","#",,,"Pusat Ibadah warga",Belum Survei
Pesantren,"Masjid Al Barokah","Cintanagara","Kp. Jolok Lebak","#",,,"Pusat Ibadah warga",Belum Survei
Kesehatan,"Puskesdes & Posyandu","Cintanagara","Tersebar di setiap RW","#",,,"Terintegrasi dengan program gizi Puskesmas Sukahurip",Belum Survei
Wisata Alam,"Kelompok Tani Kentang","Cintanagara","Pertanian Desa","#",,,"Mayoritas penduduk berprofesi sebagai petani sayuran",Belum Survei
Wisata Alam,"Budidaya Jamur Tiram","Cintanagara","UMKM Lokal","#",,,"Inisiatif pemberdayaan warga desa untuk ketahanan pangan",Belum Survei
Wisata Alam,"Jalan Usaha Tani","Cintanagara","Infrastruktur Desa","#",,,"Proyek desa untuk mendukung akses distribusi hasil bumi",Belum Survei
Wisata Alam,"Yayasan Ripatiniah","Cintanagara","Yayasan Sosial","#",,,"Kp. Lio, bergerak membantu kesejahteraan desa",Belum Survei
Wisata Alam,"Basecamp Gunung Cikuray via Cintanagara","Cintanagara","Pariwisata Alam","#",,,"Pos pendakian resmi menuju puncak Cikuray (estimasi 6,5 jam dari pos)",Belum Survei
Pendidikan,"SDN 1 Sindangsari","Sindangsari","Desa Sindangsari","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 2 Sindangsari","Sindangsari","Desa Sindangsari","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 3 Sindangsari","Sindangsari","Kp. Tegal Biuk","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"PKBM Al-Ikhlas","Sindangsari","Desa Sindangsari","#",,,"Pusat Kegiatan Belajar Masyarakat (Kejar Paket)",Belum Survei
Pendidikan,"Ponpes Al Hikmah","Sindangsari","Desa Sindangsari","#",,,"Pusat Pendidikan Agama & Santri",Belum Survei
Pesantren,"Masjid Sengklek","Sindangsari","Kp. Sengklek","#",,,"Masjid Jami / Pusat ibadah komunal warga setempat",Belum Survei
Adat & Budaya,"Kesenian Pencak Silat","Sindangsari","Bela Diri","#",,,"Paguyuban/Grup seni lokal desa, rutin tampil di acara desa",Belum Survei
Adat & Budaya,"Wisata Cadas Gantung (CG)","Sindangsari","Pariwisata Alam","#",,,"Destinasi wisata tebing eksotis yang populer bagi pecinta alam",Belum Survei
UMKM,"Gedung Olahraga (GOR) Desa","Sindangsari","Fasilitas Publik","#",,,"Tempat kegiatan olahraga dan acara besar warga Sindangsari",Belum Survei
UMKM,"Pelaku Usaha Mikro RT","Sindangsari","Perdagangan Skala Kecil","#",,,"Mayoritas pergerakan ekonomi desa didukung warung dan industri rumahan",Belum Survei
Pendidikan,"KB Attaubah","Sukahurip","Kp. Baranangsiang","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"KB Baetur Rohman","Sukahurip","Kp. Cigedug Kaler","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"KB Nurul Ihsan","Sukahurip","Kp. Cihuru","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"TK Miftahul Ulum","Sukahurip","Kp. Cigedug Tengah RT 01/05","#",,,"Taman Kanak-Kanak",Belum Survei
Pendidikan,"SDN 1 Sukahurip","Sukahurip","Kp. Cihuru","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 2 Sukahurip","Sukahurip","Kp. Cirata","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"MIS Nurul Islam","Sukahurip","Kp. Cihuru","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"SMA Tunas Karya Garut","Sukahurip","Kp. Cirata RT 01/04","#",,,"Sekolah Menengah Atas Swasta",Belum Survei
Pendidikan,"LKP Arham","Sukahurip","Kp. Cihuru RT 01/04","#",,,"Lembaga Kursus dan Pelatihan Keterampilan",Belum Survei
Pesantren,"PPS Nurul Ihsan","Sukahurip","Kp. Cihuru RT 02/04","#",,,"Pesantren kajian pendidikan formal & non-formal",Belum Survei
Pesantren,"Ponpes Man Baul Huda","Sukahurip","Kp. Cigedug Tengah RT 01/02","#",,,"Memadukan kajian kitab kuning & kurikulum nasional",Belum Survei
Pesantren,"Ponpes Nurul Barokah","Sukahurip","Kp. Cigedug RT 01/06","#",,,"Pusat Pendidikan Islam lokal",Belum Survei
Pesantren,"Masjid Al-Hikmah","Sukahurip","Kp. Cigedug Tengah RT 02/05","#",,,"Pusat Kegiatan Keagamaan warga",Belum Survei
Pesantren,"Masjid Al-Falah","Sukahurip","Kp. Sukahurip RT 01/01","#",,,"Masjid Jami / DKM Utama",Belum Survei
Pesantren,"Yayasan Al-Ruslaniyyah","Sukahurip","Kp. Cigedug Kaler","#",,,"Bergerak di Bidang Pendidikan & Sosial",Belum Survei
Pesantren,"Yayasan Attaubah Sukahurip","Sukahurip","Kp. Baranangsiang","#",,,"Sosial & Agama",Belum Survei
Kesehatan,"Puskesmas Sukahurip","Sukahurip","Jl. Raya Cigedug No. 333","#",,,"Puskesmas Induk (Melayani seluruh 5 Desa di Kec. Cigedug)",Belum Survei
Adat & Budaya,"Grup Qasidah/Marawis","Sukahurip","Kesenian Religi","#",,,"Grup musik islami yang sering tampil dari pesantren sekitar",Belum Survei
Adat & Budaya,"Jalur Pendakian Tapak Gerot","Sukahurip","Pariwisata Alam","#",,,"Pos / Pintu Masuk Favorit Pendaki Gunung Cikuray",Belum Survei
UMKM,"Produksi Kopi Cihuru","Sukahurip","UMKM Pertanian","#",,,"Pengolahan pasca panen Kopi Arabika lokal",Belum Survei
UMKM,"Perkebunan Cengkeh","Sukahurip","Agribisnis","#",,,"Komoditas andalan perkebunan rakyat desa",Belum Survei
